"Betweenness Dir","Bridging Dir","Centroid Dir","Closeness Dir","COMMON","Degree unDir","degree.layout","Eccentricity Dir","EigenVector Dir","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","InDegree","name","OutDegree","Radiality Dir","selected","shared name","Stress Dir"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""LY6K""","0.0","0.0011135857461024498","false","""LY6K""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""LYPD2""","0.0","0.0011135857461024498","false","""LYPD2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""MDGA1""","0.0","0.0011135857461024498","false","""MDGA1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""MDGA2""","0.0","0.0011135857461024498","false","""MDGA2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""NRN1""","0.0","0.0011135857461024498","false","""NRN1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""RTN4RL2""","0.0","0.0011135857461024498","false","""RTN4RL2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""TECTA""","0.0","0.0011135857461024498","false","""TECTA""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""PRL""","0.0","0.0011135857461024498","false","""PRL""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""LCT""","0.0","0.0011135857461024498","false","""LCT""","0.0"
"0.0","0.0","-5.0","5.0",,"5.0","5","1.0","0.0",,,,,,,"0.0","""HOXA6""","5.0","0.0011198208286674132","false","""HOXA6""","0.0"
